Countries;NOI;Deaths;Injuries
Albania;1;0;0
Algeria;14;12;19
Angola;6;7;411
Argentina;3;0;0
Australia;4;4;21
Austria;1;2;0
Azerbaijan;2;5;2
Bahrain;21;6;26
Bangladesh;41;25;73
Belgium;3;2;2
Brazil;2;0;0
BurkinaFaso;32;53;45
Burundi;21;20;127
Cameroon;94;228;243
Canada;12;6;25
CentralAfricanRepublic;43;601;239
Chad;6;62;1
Chile;12;0;2
China;6;16;76
CzechRepublic;3;0;0
Djibouti;1;0;0
DominicanRepublic;1;2;1
Ecuador;3;0;0
Ethiopia;27;67;53
Finland;2;2;10
France;41;7;28
Gabon;4;0;2
Georgia;1;0;5
Germany;27;1;10
Greece;43;0;7
Honduras;1;2;0
Indonesia;27;20;27
Iran;11;39;67
Ireland;17;0;0
Israel;32;3;15
Italy;8;0;8
IvoryCoast;13;3;2
Jamaica;2;0;0
Jordan;8;4;1
Kenya;97;126;97
Kosovo;8;0;4
Kyrgyzstan;2;0;0
Laos;1;1;0
Latvia;1;0;0
Lebanon;23;17;49
Liberia;1;0;0
Macedonia;1;0;0
Malawi;1;0;0
Malaysia;4;4;2
Maldives;2;1;0
Malta;3;1;0
Mexico;20;23;6
Mozambique;11;22;11
Netherlands;1;0;0
Niger;13;148;72
Norway;1;0;0
PapuaNewGuinea;8;0;3
Paraguay;10;4;1
Peru;8;8;4
Poland;1;0;0
Russia;33;61;114
Rwanda;2;2;8
SaudiArabia;54;31;69
Serbia;1;0;1
SierraLeone;3;0;0
SouthAfrica;29;21;7
SouthSudan;54;581;258
Spain;4;21;111
SriLanka;41;1;3
Sudan;106;82;176
Sweden;18;5;32
Taiwan;1;0;1
Tajikistan;2;1;0
Tanzania;6;8;4
Tunisia;4;5;5
Uganda;13;7;2
Ukraine;61;40;64
UnitedStates;65;95;932
Venezuela;17;5;32
Vietnam;2;0;0
WestBankandGazaStrip;83;50;75
Zambia;2;0;0
Zimbabwe;3;0;1
